acl,acl:relcl,advcl,advmod,amod,appos,aux,aux:pass,case,cc,cc:preconj,ccomp,compound,compound:prt,conj,cop,csubj,det,det:predet,discourse,expl,fixed,flat,flat:foreign,goeswith,iobj,list,mark,nmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:npmod,obl:tmod,parataxis,punct,vocative,xcomp,Other
1,2,0,36,58,0,7,2,481,41,0,1,17,0,2,52,0,16907,23,1,1,0,0,0,0,1,0,12,8,0,44,0,32,0,15,233,2,0,2,0,40,0,4,1051
1,0,0,3,4,0,0,0,2,0,0,0,0,0,0,1,0,12,277,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,25
0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,182,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,1,6,1,0,29
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,887,0,0,0,0,0,0,3,0,0,1,0,22,0,0,1,1,0,0,0,67,0,0,52
0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,155
0,0,0,1,1,2,0,0,0,0,0,0,14,0,3,0,0,3,0,0,0,0,252,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,11,15,83,5,1,27,3,65,17,0,9,2,0,0,5,2,5,0,0,0,1,0,0,0,1,0,10089,0,0,0,0,36,3,0,16,13,0,0,0,35,1,22,885
27,4,3,6,40,6,0,0,19,2,0,0,16,0,20,5,0,22,0,1,0,0,1,0,0,1,0,0,6873,1,4,1,15,0,11,22,87,1,1,2,4,0,1,944
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0,2,2,0,2,0,0,0,0,0,7
0,0,0,5,7,0,0,0,32,4,0,0,34,0,2,2,0,35,0,0,1,0,0,0,0,0,0,1,3,0,4620,0,18,0,2,19,0,0,0,0,2,0,1,228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,5
34,32,16,33,19,3,30,2,8,31,1,11,20,0,12,46,7,8,0,2,30,0,1,0,0,0,1,60,10,1,19,0,19139,82,4,15,37,3,7,13,819,0,4,1255
1,4,2,1,0,0,1,1,0,3,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,70,1019,0,0,4,0,0,2,23,0,0,96
1,0,0,1,3,0,0,0,7,0,0,0,18,0,1,0,0,22,0,0,0,0,1,0,0,0,0,0,6,0,2,1,2,0,1178,1,2,1,1,0,3,0,0,77
2,26,7,41,55,9,16,2,32,3,0,12,28,1,20,17,2,16,0,1,1,0,1,0,0,17,1,20,20,0,3,0,35,4,1,11470,192,8,20,5,10,0,62,646
5,7,33,67,9,6,5,0,17,5,2,4,0,2,21,15,0,4,0,2,0,0,0,0,0,1,0,10,95,2,0,0,22,6,0,154,9561,3,12,7,32,0,23,1242
1,1,0,3,3,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,266,2,1,3,0,1,49
0,4,0,5,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0,13,32,2,397,2,3,0,0,63
3,11,46,5,2,7,4,0,0,0,0,33,1,0,96,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,8,0,1,1033,1,0,6,324
1,1,5,13,13,0,6,0,9,20,2,6,10,3,15,10,1,8,0,2,0,0,1,0,0,0,0,15,9,0,2,0,19,2,0,13,17,0,0,4,20787,0,2,3035
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,49,0,1
9,0,109,47,7,0,28,6,0,0,0,33,0,1,8,9,9,0,0,0,0,0,1,0,0,1,0,14,1,0,0,0,5,0,0,53,26,0,0,2,1,0,3660,212
